target_time,predicted_temp_f,actual_temp_f,absolute_error_f
2026-06-01T04:00:00+00:00,69.2,70.4,1.2
2026-06-01T05:00:00+00:00,67.5,68.6,1.1
2026-06-01T06:00:00+00:00,66.7,67.2,0.5
2026-06-01T07:00:00+00:00,65.6,67.0,1.4
2026-06-01T08:00:00+00:00,65.9,67.0,1.1
2026-06-01T09:00:00+00:00,66.5,65.1,1.4
2026-06-01T10:00:00+00:00,64.4,66.0,1.6
2026-06-01T11:00:00+00:00,65.7,64.3,1.4
2026-06-01T12:00:00+00:00,63.4,64.9,1.5
2026-06-01T13:00:00+00:00,64.8,68.9,4.1
2026-06-01T14:00:00+00:00,69.9,72.4,2.5
2026-06-01T15:00:00+00:00,75.1,76.9,1.8
2026-06-01T16:00:00+00:00,80.9,81.2,0.3
2026-06-01T17:00:00+00:00,85.3,83.7,1.6
2026-06-01T18:00:00+00:00,87.5,83.8,3.7
2026-06-01T19:00:00+00:00,86.1,85.4,0.7
2026-06-01T20:00:00+00:00,86.8,85.6,1.2
2026-06-01T21:00:00+00:00,86.2,85.9,0.3
2026-06-01T22:00:00+00:00,86.6,86.0,0.6
2026-06-01T23:00:00+00:00,86.2,85.3,0.9
2026-06-02T00:00:00+00:00,85.2,78.8,6.4
2026-06-02T01:00:00+00:00,76.4,75.8,0.6
2026-06-02T02:00:00+00:00,72.4,73.2,0.8
2026-06-02T03:00:00+00:00,69.2,72.0,2.8
2026-06-02T04:00:00+00:00,69.7,70.8,1.1
2026-06-02T05:00:00+00:00,69.1,69.8,0.7
2026-06-02T06:00:00+00:00,68.7,69.3,0.6
2026-06-02T07:00:00+00:00,68.4,67.8,0.6
2026-06-02T08:00:00+00:00,66.8,65.3,1.5
2026-06-02T09:00:00+00:00,63.8,65.9,2.1
2026-06-02T10:00:00+00:00,64.8,65.7,0.9
2026-06-02T11:00:00+00:00,65.0,65.8,0.8
2026-06-02T12:00:00+00:00,66.0,64.7,1.3
2026-06-02T13:00:00+00:00,64.3,66.1,1.8
2026-06-02T14:00:00+00:00,66.2,66.9,0.7
2026-06-02T15:00:00+00:00,67.3,65.7,1.6
2026-06-02T16:00:00+00:00,66.0,71.9,5.9
2026-06-02T17:00:00+00:00,73.8,75.8,2.0
2026-06-02T18:00:00+00:00,78.8,76.3,2.5
2026-06-02T19:00:00+00:00,79.8,77.8,2.0
2026-06-02T20:00:00+00:00,79.8,78.6,1.2
2026-06-02T21:00:00+00:00,79.5,78.9,0.6
2026-06-02T22:00:00+00:00,79.8,78.7,1.1
2026-06-02T23:00:00+00:00,79.0,78.6,0.4
2026-06-03T00:00:00+00:00,78.6,77.9,0.7
2026-06-03T01:00:00+00:00,77.6,73.8,3.8
2026-06-03T02:00:00+00:00,72.2,72.4,0.2
2026-06-03T03:00:00+00:00,70.3,71.6,1.3
2026-06-03T04:00:00+00:00,69.5,70.3,0.8
2026-06-03T05:00:00+00:00,69.1,69.4,0.3
2026-06-03T06:00:00+00:00,68.4,69.3,0.9
2026-06-03T07:00:00+00:00,68.5,69.3,0.8
2026-06-03T08:00:00+00:00,69.0,67.3,1.7
2026-06-03T09:00:00+00:00,66.6,65.5,1.1
2026-06-03T10:00:00+00:00,64.2,64.9,0.7
2026-06-03T11:00:00+00:00,63.4,65.1,1.7
2026-06-03T12:00:00+00:00,64.4,66.7,2.3
2026-06-03T13:00:00+00:00,67.1,69.3,2.2
2026-06-03T14:00:00+00:00,70.8,69.6,1.2
2026-06-03T15:00:00+00:00,71.1,73.0,1.9
2026-06-03T16:00:00+00:00,75.1,76.2,1.1
2026-06-03T17:00:00+00:00,78.5,74.4,4.1
2026-06-03T18:00:00+00:00,76.0,80.9,4.9
2026-06-03T19:00:00+00:00,83.5,81.5,2.0
2026-06-03T20:00:00+00:00,83.3,81.0,2.3
2026-06-03T21:00:00+00:00,83.2,76.2,7.0
2026-06-03T22:00:00+00:00,74.6,78.3,3.7
2026-06-03T23:00:00+00:00,77.2,75.7,1.5
2026-06-04T00:00:00+00:00,73.9,76.7,2.8
2026-06-04T01:00:00+00:00,76.9,70.5,6.4
2026-06-04T02:00:00+00:00,67.9,68.6,0.7
2026-06-04T03:00:00+00:00,66.2,68.2,2.0
2026-06-04T04:00:00+00:00,65.4,67.8,2.4
2026-06-04T05:00:00+00:00,66.9,66.8,0.1
2026-06-04T06:00:00+00:00,66.2,64.0,2.2
2026-06-04T07:00:00+00:00,62.6,64.8,2.2
2026-06-04T08:00:00+00:00,63.8,64.8,1.0
2026-06-04T09:00:00+00:00,64.1,64.7,0.6
2026-06-04T10:00:00+00:00,64.9,65.0,0.1
2026-06-04T11:00:00+00:00,65.1,64.8,0.3
2026-06-04T12:00:00+00:00,64.8,65.5,0.7
2026-06-04T13:00:00+00:00,65.8,66.3,0.5
2026-06-04T14:00:00+00:00,66.7,67.3,0.6
2026-06-04T15:00:00+00:00,68.1,67.2,0.9
2026-06-04T16:00:00+00:00,67.8,70.3,2.5
2026-06-04T17:00:00+00:00,71.6,74.0,2.4
2026-06-04T18:00:00+00:00,76.2,74.6,1.6
2026-06-04T19:00:00+00:00,77.1,78.8,1.7
2026-06-04T20:00:00+00:00,81.6,80.4,1.2
2026-06-04T21:00:00+00:00,82.5,81.5,1.0
2026-06-04T22:00:00+00:00,83.8,81.8,2.0
2026-06-04T23:00:00+00:00,82.8,81.9,0.9
2026-06-05T00:00:00+00:00,82.4,81.9,0.5
2026-06-05T01:00:00+00:00,82.0,80.4,1.6
2026-06-05T02:00:00+00:00,79.9,75.0,4.9
2026-06-05T03:00:00+00:00,72.7,71.2,1.5
2026-06-05T04:00:00+00:00,67.6,69.7,2.1
2026-06-05T05:00:00+00:00,66.1,68.8,2.7
2026-06-05T06:00:00+00:00,66.7,70.3,3.6
2026-06-05T07:00:00+00:00,70.0,70.9,0.9
2026-06-05T08:00:00+00:00,71.3,71.2,0.1
2026-06-05T09:00:00+00:00,72.0,71.2,0.8
2026-06-05T10:00:00+00:00,71.5,71.4,0.1
2026-06-05T11:00:00+00:00,71.6,70.9,0.7
2026-06-05T12:00:00+00:00,70.8,68.5,2.3
2026-06-05T13:00:00+00:00,67.6,72.0,4.4
2026-06-05T14:00:00+00:00,72.2,75.7,3.5
2026-06-05T15:00:00+00:00,77.3,78.9,1.6
2026-06-05T16:00:00+00:00,82.4,82.3,0.1
2026-06-05T17:00:00+00:00,85.7,85.4,0.3
2026-06-05T18:00:00+00:00,88.6,89.4,0.8
2026-06-05T19:00:00+00:00,92.9,91.0,1.9
2026-06-05T20:00:00+00:00,93.9,91.8,2.1
2026-06-05T21:00:00+00:00,93.9,91.8,2.1
2026-06-05T22:00:00+00:00,92.6,90.5,2.1
2026-06-05T23:00:00+00:00,90.3,84.9,5.4
2026-06-06T00:00:00+00:00,82.6,86.4,3.8
2026-06-06T01:00:00+00:00,84.6,82.0,2.6
2026-06-06T02:00:00+00:00,79.2,80.1,0.9
2026-06-06T03:00:00+00:00,78.5,78.3,0.2
2026-06-06T04:00:00+00:00,75.6,77.0,1.4
2026-06-06T05:00:00+00:00,75.3,75.4,0.1
2026-06-06T06:00:00+00:00,73.8,72.0,1.8
2026-06-06T07:00:00+00:00,69.9,70.7,0.8
2026-06-06T08:00:00+00:00,68.6,69.6,1.0
2026-06-06T09:00:00+00:00,67.7,67.6,0.1
2026-06-06T10:00:00+00:00,66.1,66.7,0.6
2026-06-06T11:00:00+00:00,65.4,66.9,1.5
2026-06-06T12:00:00+00:00,66.0,66.6,0.6
2026-06-06T13:00:00+00:00,66.3,70.1,3.8
2026-06-06T14:00:00+00:00,71.2,73.4,2.2
2026-06-06T15:00:00+00:00,75.6,76.4,0.8
2026-06-06T16:00:00+00:00,79.7,80.2,0.5
2026-06-06T17:00:00+00:00,83.6,81.5,2.1
2026-06-06T18:00:00+00:00,84.2,83.1,1.1
2026-06-06T19:00:00+00:00,85.3,83.3,2.0
2026-06-06T20:00:00+00:00,84.3,80.4,3.9
2026-06-06T21:00:00+00:00,80.0,79.1,0.9
2026-06-06T22:00:00+00:00,77.8,77.7,0.1
2026-06-06T23:00:00+00:00,75.8,77.9,2.1
2026-06-07T00:00:00+00:00,77.1,78.6,1.5
2026-06-07T01:00:00+00:00,78.4,76.5,1.9
2026-06-07T02:00:00+00:00,76.1,73.8,2.3
2026-06-07T03:00:00+00:00,72.4,72.5,0.1
2026-06-07T04:00:00+00:00,70.5,71.1,0.6
2026-06-07T05:00:00+00:00,69.3,70.2,0.9
2026-06-07T06:00:00+00:00,69.0,70.0,1.0
2026-06-07T07:00:00+00:00,69.2,69.2,0.0
2026-06-07T08:00:00+00:00,68.6,69.6,1.0
2026-06-07T09:00:00+00:00,69.4,69.4,0.0
2026-06-07T10:00:00+00:00,69.2,68.6,0.6
2026-06-07T11:00:00+00:00,68.4,68.0,0.4
2026-06-07T12:00:00+00:00,67.5,67.5,0.0
2026-06-07T13:00:00+00:00,66.9,70.2,3.3
2026-06-07T14:00:00+00:00,70.7,72.4,1.7
2026-06-07T15:00:00+00:00,73.9,74.6,0.7
2026-06-07T16:00:00+00:00,77.0,76.9,0.1
2026-06-07T17:00:00+00:00,79.1,78.5,0.6
2026-06-07T18:00:00+00:00,80.5,80.0,0.5
2026-06-07T19:00:00+00:00,81.8,81.5,0.3
2026-06-07T20:00:00+00:00,83.0,82.8,0.2
2026-06-07T21:00:00+00:00,84.2,83.3,0.9
2026-06-07T22:00:00+00:00,84.4,82.0,2.4
2026-06-07T23:00:00+00:00,82.2,81.5,0.7
2026-06-08T00:00:00+00:00,81.1,82.7,1.6
2026-06-08T01:00:00+00:00,82.5,81.1,1.4
2026-06-08T02:00:00+00:00,80.8,77.3,3.5
2026-06-08T03:00:00+00:00,75.9,75.1,0.8
2026-06-08T04:00:00+00:00,72.6,73.8,1.2
2026-06-08T05:00:00+00:00,71.4,72.7,1.3
2026-06-08T06:00:00+00:00,71.2,70.9,0.3
2026-06-08T07:00:00+00:00,69.5,71.1,1.6
2026-06-08T08:00:00+00:00,70.2,70.7,0.5
2026-06-08T09:00:00+00:00,70.0,70.3,0.3
2026-06-08T10:00:00+00:00,70.1,70.5,0.4
2026-06-08T11:00:00+00:00,70.3,71.5,1.2
2026-06-08T12:00:00+00:00,71.8,72.6,0.8
2026-06-08T13:00:00+00:00,73.4,75.0,1.6
2026-06-08T14:00:00+00:00,76.5,75.7,0.8
2026-06-08T15:00:00+00:00,77.1,77.4,0.3
2026-06-08T16:00:00+00:00,79.0,79.2,0.2
2026-06-08T17:00:00+00:00,80.6,81.9,1.3
2026-06-08T18:00:00+00:00,84.0,82.2,1.8
2026-06-08T19:00:00+00:00,83.8,84.4,0.6
2026-06-08T20:00:00+00:00,86.1,85.4,0.7
2026-06-08T21:00:00+00:00,86.6,87.2,0.6
2026-06-08T22:00:00+00:00,88.9,88.0,0.9
2026-06-08T23:00:00+00:00,89.2,78.4,10.8
2026-06-09T00:00:00+00:00,76.1,69.8,6.3
2026-06-09T01:00:00+00:00,64.0,71.9,7.9
2026-06-09T02:00:00+00:00,66.5,72.1,5.6
2026-06-09T03:00:00+00:00,70.0,71.0,1.0
2026-06-09T04:00:00+00:00,71.4,71.5,0.1
2026-06-09T05:00:00+00:00,71.4,71.0,0.4
2026-06-09T06:00:00+00:00,70.6,68.2,2.4
2026-06-09T07:00:00+00:00,67.3,67.9,0.6
2026-06-09T08:00:00+00:00,66.7,67.3,0.6
2026-06-09T09:00:00+00:00,66.1,67.0,0.9
2026-06-09T10:00:00+00:00,66.6,68.6,2.0
2026-06-09T11:00:00+00:00,68.8,68.7,0.1
2026-06-09T12:00:00+00:00,69.2,67.5,1.7
2026-06-09T13:00:00+00:00,67.7,71.0,3.3
2026-06-09T14:00:00+00:00,71.8,75.0,3.2
2026-06-09T15:00:00+00:00,77.1,79.5,2.4
2026-06-09T16:00:00+00:00,83.5,83.8,0.3
2026-06-09T17:00:00+00:00,88.1,87.5,0.6
2026-06-09T18:00:00+00:00,91.7,89.6,2.1
2026-06-09T19:00:00+00:00,93.0,91.0,2.0
2026-06-09T20:00:00+00:00,93.4,94.1,0.7
